emp_length,state,homeownership,debt_to_income,annual_income,open_credit_lines,total_credit_limit,total_credit_utilized,total_debit_limit,loan_amount,interest_rate,installment,grade,balance,paid_interest,income_group,loan_to_income,credit_utilization_rate,debt_burden
0,FL,RENT,22.51,32000.0,4,22984,18420,5000,2500,7.96,78.3,A,2326.16,31.65,Low,0.08,0.8,23.31
10,MN,OWN,2.99,45000.0,5,203255,1469,9000,12500,7.34,387.91,A,11559.92,218.55,Low,0.28,0.01,3.0
10,MD,OWN,21.07,90000.0,19,154848,62112,79300,13000,7.35,403.49,A,11360.72,364.9,High,0.14,0.4,21.47
0,MN,MORTGAGE,12.28,130000.0,23,296496,77944,93600,17500,7.35,349.42,A,16273.9,470.99,High,0.13,0.26,12.54
3,TX,RENT,28.97,65000.0,28,156207,70381,50800,8000,7.96,250.55,A,7403.61,151.72,Low,0.12,0.45,29.42
4,OH,MORTGAGE,16.17,124000.0,19,332387,58767,101700,22000,6.07,669.99,A,20879.76,204.9,High,0.18,0.18,16.35
10,VA,MORTGAGE,22.49,43125.0,18,133272,35518,22800,8000,6.07,243.63,A,7387.42,115.61,Low,0.19,0.27,22.76
10,VA,RENT,18.01,73000.0,11,107100,31797,52300,8000,7.35,248.3,A,0.0,180.61,High,0.11,0.3,18.31
3,TX,MORTGAGE,7.47,103960.0,10,157850,16981,20200,3500,6.72,107.63,A,2850.03,86.87,High,0.03,0.11,7.58
3,NV,MORTGAGE,12.44,95000.0,7,328319,31973,10800,7000,6.07,213.18,A,6464.25,101.43,High,0.07,0.1,12.54
3,GA,MORTGAGE,8.12,100000.0,5,405111,43073,10500,25000,5.32,752.87,A,21761.22,462.77,High,0.25,0.11,8.23
10,WA,MORTGAGE,8.37,86000.0,4,41350,13172,28700,13000,7.34,403.43,A,11522.0,221.69,High,0.15,0.32,8.69
10,MO,MORTGAGE,2.38,62000.0,5,172667,5660,13100,8000,6.07,243.63,A,7592.65,77.21,Low,0.13,0.03,2.41
10,NE,RENT,13.99,55000.0,5,33025,19059,9400,10000,7.97,313.23,A,8749.43,306.72,Low,0.18,0.58,14.57
3,SC,MORTGAGE,20.32,86000.0,17,303755,42222,113900,40000,5.32,1204.6,A,35863.53,670.11,High,0.47,0.14,20.46
8,VA,RENT,9.43,132000.0,6,84700,38172,59700,38400,6.72,1180.78,A,33516.91,992.14,High,0.29,0.45,9.88
1,MS,MORTGAGE,26.7,87000.0,11,457555,120128,23900,25000,7.35,775.94,A,22485.76,564.0,High,0.29,0.26,26.96
10,NJ,MORTGAGE,15.18,70566.0,8,420675,19427,56900,6000,6.08,182.75,A,5230.49,139.17,High,0.09,0.05,15.23
6,IL,RENT,14.57,81250.0,10,80039,22695,43700,15000,6.08,456.88,A,13464.86,287.31,High,0.18,0.28,14.85
10,MD,RENT,35.84,50000.0,9,82609,43574,16900,20000,7.97,626.46,A,18005.74,489.44,Low,0.4,0.53,36.37
2,AR,RENT,17.43,55000.0,9,46617,35823,16600,10000,6.72,307.5,A,8985.52,213.61,Low,0.18,0.77,18.2
10,CA,RENT,19.27,94000.0,10,127976,54567,89000,30000,7.96,939.54,A,27763.61,568.96,High,0.32,0.43,19.7
5,CA,RENT,14.78,120000.0,19,118044,73308,39700,38000,6.71,1168.3,A,35116.49,607.22,High,0.32,0.62,15.4
2,AZ,RENT,1.92,35000.0,2,12800,2103,10300,6500,7.96,203.57,A,6015.44,120.4,Low,0.19,0.16,2.08
5,VA,RENT,18.64,75000.0,10,51461,23448,11200,20000,7.34,620.66,A,18495.86,341.53,High,0.27,0.46,19.1
1,IL,MORTGAGE,15.35,80000.0,6,174163,22045,6000,8000,6.71,245.96,A,7392.94,124.86,High,0.1,0.13,15.48
0,NJ,RENT,7.88,70020.0,10,32900,24367,9200,5000,7.34,155.17,A,4623.95,87.42,High,0.07,0.74,8.62
10,CA,RENT,7.93,90000.0,9,60644,23517,37000,15000,6.07,456.81,A,13851.4,211.71,High,0.17,0.39,8.32
10,MI,MORTGAGE,19.32,80000.0,18,81173,30728,25200,17000,5.32,511.96,A,14797.59,352.37,High,0.21,0.38,19.7
5,MA,RENT,9.58,84000.0,7,63972,45806,27000,20000,6.72,614.99,A,17972.12,424.61,High,0.24,0.72,10.3
0,NH,MORTGAGE,6.26,150000.0,31,388580,33134,21700,40000,6.07,1218.15,A,37963.23,372.55,High,0.27,0.09,6.35
2,NC,MORTGAGE,24.47,95000.0,15,336147,110766,34500,35925,5.32,1081.88,A,32209.93,649.61,High,0.38,0.33,24.8
5,IL,RENT,19.38,33000.0,8,43876,22920,17600,3200,7.34,99.31,A,2557.44,54.07,Low,0.1,0.52,19.9
10,MO,RENT,10.91,35000.0,5,26500,10803,23000,11000,7.35,219.64,A,10385.32,259.39,Low,0.31,0.41,11.32
10,NY,RENT,14.58,40000.0,13,56285,16738,33300,20000,6.07,609.08,A,18468.54,289.04,Low,0.5,0.3,14.88
9,IN,MORTGAGE,34.38,75999.0,16,427674,61999,72500,19200,7.34,595.83,A,17756.03,327.86,High,0.25,0.14,34.52
10,GA,MORTGAGE,1.28,32000.0,3,154909,1208,2600,7000,7.96,219.23,A,6648.04,85.91,Low,0.22,0.01,1.29
10,AL,MORTGAGE,9.3,146000.0,9,358028,96231,14000,10000,6.71,307.45,A,9241.17,156.06,High,0.07,0.27,9.57
3,NY,RENT,17.4,52000.0,9,63800,24423,37600,15000,5.32,451.73,A,13448.8,257.94,Low,0.29,0.38,17.78
10,NC,RENT,22.35,70000.0,22,171805,42877,122600,20000,6.71,614.9,A,18482.35,312.14,Low,0.29,0.25,22.6
0,CA,RENT,4.35,95000.0,6,17357,6605,7600,4000,6.72,123.0,A,3594.21,84.72,High,0.04,0.38,4.73
10,IL,OWN,8.65,130000.0,13,261095,26645,39500,40000,6.72,1229.97,A,34913.5,1048.42,High,0.31,0.1,8.75
10,KS,MORTGAGE,27.53,98000.0,16,258078,108340,84100,29000,7.35,579.04,A,27379.52,654.24,High,0.3,0.42,27.95
10,DC,MORTGAGE,4.36,152000.0,6,560826,17408,65300,40000,7.34,798.49,A,38328.35,707.51,High,0.26,0.03,4.39
3,VA,RENT,19.13,170000.0,11,221252,194434,31600,23000,7.35,713.86,A,20099.76,659.67,High,0.14,0.88,20.01
10,IN,MORTGAGE,16.12,60000.0,7,195174,32843,25200,10000,7.35,310.38,A,8996.09,233.53,Low,0.17,0.17,16.29
4,GA,RENT,23.43,60000.0,13,104387,42622,72400,25000,7.35,775.94,A,21847.54,778.28,Low,0.42,0.41,23.84
5,VT,RENT,20.26,46500.0,9,99970,47796,45000,10000,6.71,307.45,A,1435.8,46.97,Low,0.22,0.48,20.74
10,TX,MORTGAGE,12.14,125000.0,16,500837,40943,80800,40000,5.32,1204.6,A,35863.53,670.11,High,0.32,0.08,12.22
10,FL,MORTGAGE,33.54,288000.0,22,1036893,547708,67200,17150,6.72,527.35,A,14969.16,443.1,High,0.06,0.53,34.07
10,CT,MORTGAGE,37.49,45000.0,21,195191,44537,12800,4900,7.35,152.09,A,4282.09,140.54,Low,0.11,0.23,37.72
3,CA,MORTGAGE,35.8,89179.0,10,414424,111351,75100,12000,7.97,375.88,A,10499.3,368.07,High,0.13,0.27,36.07
8,NC,MORTGAGE,4.39,125000.0,5,332065,45517,39100,16000,6.07,487.26,A,14774.84,225.83,High,0.13,0.14,4.53
10,FL,MORTGAGE,18.89,130000.0,17,807629,130987,16300,16000,5.32,481.84,A,13927.17,326.91,High,0.12,0.16,19.05
7,WV,MORTGAGE,12.94,42000.0,4,67203,55861,14000,6000,7.34,186.2,A,5700.09,70.04,Low,0.14,0.83,13.77
5,NJ,MORTGAGE,7.73,110000.0,12,44138,20970,9300,8650,6.72,265.99,A,7549.99,233.97,High,0.08,0.48,8.21
5,WA,RENT,7.29,67000.0,8,30884,11458,7800,25000,6.08,761.46,A,21793.71,592.57,Low,0.37,0.37,7.66
4,TN,MORTGAGE,22.49,155000.0,25,362866,120099,72200,30000,7.97,607.87,A,28349.16,793.92,High,0.19,0.33,22.82
4,VA,RENT,12.38,86000.0,8,52000,34773,29500,3600,7.97,112.77,A,3149.76,110.42,High,0.04,0.67,13.05
2,CA,RENT,10.42,32357.0,5,24360,5940,11200,5500,7.96,172.25,A,5089.99,104.31,Low,0.17,0.24,10.66
9,CA,MORTGAGE,11.16,140000.0,12,464400,51379,96800,36000,6.07,1096.34,A,33243.38,587.03,High,0.26,0.11,11.27
4,TX,MORTGAGE,17.99,65000.0,14,292806,48538,59600,28000,6.08,542.37,A,25977.09,670.02,Low,0.43,0.17,18.16
10,NY,MORTGAGE,6.78,110000.0,6,112380,18915,20300,10000,6.72,307.5,A,8985.52,211.79,High,0.09,0.17,6.95
5,MI,MORTGAGE,15.66,106000.0,15,70318,30383,18900,11000,7.35,341.42,A,9612.89,315.5,High,0.1,0.43,16.09
1,IN,RENT,26.92,145000.0,25,230608,135640,117700,33250,6.72,1022.42,A,29876.91,629.62,High,0.23,0.59,27.51
2,MA,RENT,13.89,72000.0,15,141141,58683,70100,5400,6.08,164.48,A,4847.34,103.44,High,0.08,0.42,14.31
10,AL,MORTGAGE,11.05,52000.0,6,214350,15909,5400,12000,7.96,375.82,A,11105.43,227.58,Low,0.23,0.07,11.12
