product,total_revenue,total_profit,total_quantity,avg_profit_margin
"Road-150 Red, 48",10734.81,4220.9400000000005,3,0.39320118381228913
"Road-250 Black, 52",4624.91,1749.2799999999997,2,0.3791079266021547
"Road-250 Red, 58",4363.12,1721.7599999999998,2,0.3946166963090632
"Road-150 Red, 52",3578.27,1406.98,1,0.3932011838122892
"Road-350-W Yellow, 42",3401.98,1236.96,2,0.3636000211641456
"Road-250 Black, 58",2443.35,888.3999999999999,1,0.3635991568952462
"Road-250 Red, 52",2443.35,924.56,1,0.3783985102420856
"Road-250 Red, 44",2443.35,924.56,1,0.3783985102420856
"Road-250 Red, 48",2443.35,924.56,1,0.3783985102420856
"Road-250 Black, 44",2443.35,888.3999999999999,1,0.3635991568952462
