customer_id,item,purchase_amount,purchase_date,review_rating,payment_method,month,month_name,year,spend_tier,rating_band
4026,Flip-Flops,51.68789099482077,2022-11-22,3.3,Cash,2022-11,Nov 2022,2022,Mid,High
4054,Jumpsuit,65.56704691009672,2023-09-07,3.0,Cash,2023-09,Sep 2023,2023,Mid,Mid
4108,Handbag,23.929579164268873,2022-10-02,2.1,Credit Card,2022-10,Oct 2022,2022,Low,High
4072,Jacket,22.015212831127364,2023-02-18,4.2,Cash,2023-02,Feb 2023,2023,Low,High
4040,Hoodie,79.92479440865804,2023-01-23,2.5,Cash,2023-01,Jan 2023,2023,Mid,High
4059,Sun Hat,68.43859640980898,2022-10-23,4.5,Credit Card,2022-10,Oct 2022,2022,Mid,High
4030,Camisole,44.987608828825486,2023-07-08,1.0,Credit Card,2023-07,Jul 2023,2023,Low,Low
4019,Belt,48.337749911823124,2023-04-15,3.5,Credit Card,2023-04,Apr 2023,2023,Low,High
3973,Gloves,90.45380924093635,2022-10-30,2.5,Credit Card,2022-10,Oct 2022,2022,Mid,High
4000,Hoodie,71.31014590952124,2023-08-17,3.0,Credit Card,2023-08,Aug 2023,2023,Mid,Mid
4095,Cardigan,55.516623661103786,2022-12-30,4.0,Cash,2022-12,Dec 2022,2022,Mid,High
4068,Tunic,28.71549499712265,2023-01-04,1.2,Cash,2023-01,Jan 2023,2023,Low,Low
4071,Hoodie,83.27493549165568,2023-08-23,2.8,Credit Card,2023-08,Aug 2023,2023,Mid,High
3973,Tank Top,64.13127216024058,2022-10-22,3.2,Cash,2022-10,Oct 2022,2022,Mid,High
4067,Tie,86.62507657465332,2023-06-30,1.4,Cash,2023-06,Jun 2023,2023,Mid,Low
4118,Blazer,22.493804414412743,2022-10-14,3.8,Credit Card,2022-10,Oct 2022,2022,Low,High
4049,Hoodie,53.1236657446769,2023-06-21,1.8,Cash,2023-06,Jun 2023,2023,Mid,Low
3998,Skirt,87.58225974122408,2022-12-22,3.8,Credit Card,2022-12,Dec 2022,2022,Mid,High
4055,Tank Top,73.22451224266275,2022-11-09,3.0,Cash,2022-11,Nov 2022,2022,Mid,Mid
4083,Sneakers,55.038032077818414,2022-11-27,3.9,Credit Card,2022-11,Nov 2022,2022,Mid,High
3978,Jacket,83.75352707494106,2023-03-12,4.1,Credit Card,2023-03,Mar 2023,2023,Mid,High
3990,Gloves,82.31775232508492,2023-01-09,3.9,Credit Card,2023-01,Jan 2023,2023,Mid,High
4078,Vest,27.279720247266518,2023-02-13,3.3,Cash,2023-02,Feb 2023,2023,Low,High
4095,Gloves,4.7859158328537745,2023-01-03,1.8,Cash,2023-01,Jan 2023,2023,Low,Low
4020,Bowtie,70.83155432623587,2023-03-15,2.7,Cash,2023-03,Mar 2023,2023,Mid,High
4090,Hat,89.4966260743656,2023-07-25,4.9,Credit Card,2023-07,Jul 2023,2023,Mid,High
