Name,Ticker,Sector,Price,EPS,PE,ROE_pct,DividendYield_pct,PTBV,PSR,PayoutRatio_pct,FCF_Coverage,MktCap,total_score,score_profit,score_backing,score_value,score_cashflow,score_liquidity,pays_dividend,div_covered,value_trap,verdict,profile,units,cost_RM
GOPENG,2135.KL,Consumer Defensive,0.78,-0.02,,-1.841,1.282,0.818,9.055,16.58,-43.187,314722304.0,0,0,0,0,0,0,1,0,1,FORGET,Not shortlisted,0.0,0.0
WTHORSE,5009.KL,Basic Materials,0.485,-0.03,,-1.106,0.0,0.197,0.293,0.0,2.622,106830176.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
ZHULIAN,5131.KL,Consumer Cyclical,0.81,0.02,40.5,2.142,3.704,0.908,3.066,180.41,-0.159,372600000.0,1,0,0,0,0,1,1,0,1,FORGET,Not shortlisted,0.0,0.0
TAGHILL,0241.KL,Industrials,0.055,0.0,,,0.0,0.833,0.152,0.0,-1.738,85588712.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
KINERGY,0193.KL,Industrials,0.395,0.01,39.5,11.017,0.0,3.11,1.579,0.0,,863065984.0,2,1,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
ECOMATE,0239.KL,Consumer Cyclical,0.855,0.0,,1.062,0.0,8.382,10.839,0.0,-4.342,612224192.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
KRONO,0176.KL,Technology,0.115,-0.32,,-72.558,0.0,0.431,0.49,0.0,,102397536.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
NIHSIN,7215.KL,Consumer Cyclical,0.075,-0.01,,,0.0,0.434,1.259,0.0,,43196772.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
EKSONS,9016.KL,Basic Materials,0.4,-0.06,,-2.584,0.0,0.187,7.402,0.0,1.918,64591868.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
XIN,7043.KL,Basic Materials,0.185,-0.01,,-2.335,0.0,0.51,41.967,0.0,,105318136.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
DSS,0269.KL,Consumer Cyclical,0.27,0.02,13.5,8.615,3.704,1.059,1.464,46.51,0.107,129600008.0,4,1,1,1,0,1,1,0,1,FORGET,Balanced all-rounder,0.0,0.0
EURO,7208.KL,Consumer Cyclical,0.065,-0.01,,-14.418,0.0,0.942,0.889,0.0,,86317856.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
RENEUCO,7130.KL,Industrials,0.005,-0.01,,,0.0,0.049,0.317,0.0,23.748,5712387.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
HSSEB,0185.KL,Industrials,0.425,0.03,14.167,5.203,0.0,0.717,1.004,47.56,-0.969,216104064.0,3,1,0,1,0,1,0,0,0,WAIT,No-income / growth,0.0,0.0
MINOX,0288.KL,Basic Materials,0.155,0.01,15.5,5.836,1.935,0.735,1.311,19.69,10.236,55800000.0,4,1,1,0,1,1,1,1,0,BUY,Balanced all-rounder,6400.0,992.0
MITRA,9571.KL,Industrials,0.62,0.11,5.636,9.649,4.839,0.585,0.498,9.03,14.097,451625664.0,5,1,1,1,1,1,1,1,0,BUY,Balanced all-rounder,1600.0,992.0
SMTRACK,0169.KL,Technology,0.005,0.0,,-0.836,0.0,0.147,1.133,0.0,,6607358.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
DPS,7198.KL,Industrials,0.605,0.01,60.5,0.825,0.0,0.628,2.662,0.0,,160781072.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
ARANK,7214.KL,Basic Materials,0.38,0.05,7.6,3.798,6.053,0.354,0.125,42.94,1.682,67926744.0,3,0,1,1,1,0,1,1,0,WAIT,Balanced all-rounder,0.0,0.0
PERDANA,7108.KL,Energy,0.19,0.03,6.333,8.392,0.0,0.552,1.492,0.0,,423246016.0,3,1,0,1,0,1,0,0,0,WAIT,No-income / growth,0.0,0.0
KTI,0308.KL,Real Estate,0.53,0.02,26.5,10.506,0.755,2.208,1.254,0.0,-75.111,423999968.0,2,1,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
DIGISTA,0029.KL,Industrials,0.04,-0.01,,-14.055,0.0,0.408,0.647,0.0,,25099266.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
ALAM,5115.KL,Energy,0.335,0.16,2.094,401.368,0.0,1.39,0.406,0.0,,149268160.0,2,1,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
APB,5568.KL,Industrials,0.16,-0.22,,,0.0,0.303,0.212,0.0,5.235,19863834.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
TAWIN,7097.KL,Industrials,0.015,-0.01,,-26.082,0.0,0.429,0.14,0.0,,55074468.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
LHI,6633.KL,Consumer Defensive,0.705,0.15,4.7,18.915,1.418,0.914,0.265,13.71,10.135,2377667328.0,5,1,1,1,1,1,1,1,0,BUY,High-yield income,1400.0,987.0
MILUX,7935.KL,Consumer Cyclical,0.6,0.02,30.0,8.358,0.0,3.468,1.417,0.0,,141034080.0,2,1,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
GKENT,3204.KL,Industrials,0.285,0.02,14.25,7.374,0.0,0.29,0.537,90.36,-5.52,148385632.0,3,1,0,1,0,1,0,0,0,WAIT,No-income / growth,0.0,0.0
CETECH,03024.KL,Basic Materials,0.85,0.03,28.333,7.81,0.471,2.335,2.737,16.36,16.558,294195200.0,2,1,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
IRIS,0010.KL,Industrials,0.24,0.01,24.0,2.985,0.0,0.498,1.038,104.17,0.332,195774624.0,2,0,1,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
DXN,5318.KL,Consumer Defensive,0.45,0.05,9.0,20.435,7.111,1.642,1.159,64.1,0.297,2237184512.0,3,1,1,0,0,1,1,0,1,FORGET,High-yield income,0.0,0.0
RL,0219.KL,Energy,0.27,-0.2,,-46.836,0.0,0.874,1.236,0.0,-85.147,99741072.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
OLYMPIA,3018.KL,Consumer Cyclical,0.065,-0.02,,-5.256,0.0,0.22,0.792,0.0,,66523072.0,2,0,1,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
WCT,9679.KL,Industrials,0.425,0.03,14.167,1.839,0.0,0.198,0.333,0.0,63.227,662532480.0,3,0,1,1,0,1,0,0,0,WAIT,Balanced all-rounder,0.0,0.0
JTGROUP,0292.KL,Industrials,0.51,0.03,17.0,12.992,0.0,2.227,0.911,0.0,,222737728.0,3,1,1,0,0,1,0,0,0,WAIT,No-income / growth,0.0,0.0
WCEHB,3565.KL,Industrials,0.67,-0.03,,-6.287,0.0,2.68,2.634,0.0,,2211209728.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
