id,seller_name,category_main,category_sub,price_ori,price_actual,item_rating,total_rating,total_sold,favorite,discount_pct,price_band,rating_bucket,sales_per_rating
192578b897f338f441d07eeec422fd25,tudungdream,Women Clothes,Pants & Shorts,1.0,1.0,4.9,3600.0,3600.0,84.0,0.0,<RM20,1000-5000,1.0
14284c8027361b3614d2b1a80d2755cc,vindaofficialstore,Baby & Toys,Diapers & Potties,237.2,197.0,5.0,890.0,890.0,374.0,16.947723440134904,RM100-300,30-1000,1.0
8265e25e93347dd9ac4192bac51db640,kdgood.my,Watches,Others,15.35,4.17,4.8,40.0,40.0,60.0,72.83387622149837,<RM20,30-1000,1.0
e78638f908af35279abb8df7e2ae4331,chengzimo.my,Automotive,Car Accessories,256.8,45.9,4.9,1900.0,1900.0,10300.0,82.12616822429906,RM20-50,1000-5000,1.0
af9b3ca8ac14ad7d426e8802d0caa50b,czx888.my,Men Clothes,Socks,5.0,0.89,4.9,1100.0,1100.0,357.0,82.2,<RM20,1000-5000,1.0
37128b1be5db7eb688fee784885b379d,v2optical,Automotive,Car Care,1.09,1.09,4.9,3300.0,3300.0,539.0,0.0,<RM20,1000-5000,1.0
ff1838214655cd175b13ce565e680fa8,mutu.abu,Men Clothes,Pants,75.0,75.0,4.9,307.0,307.0,1600.0,0.0,RM50-100,30-1000,1.0
e024a585f6df08d37de4c7d953ef4634,kluangcoffee,Groceries & Pets,Cooking Ingredients,0.15,0.15,4.9,1600.0,1600.0,47.0,0.0,<RM20,1000-5000,1.0
423238e318083e3189041078ca8d1624,wefresh88,Groceries & Pets,Snacks,0.6,0.6,4.9,482.0,482.0,28.0,0.0,<RM20,30-1000,1.0
53138c6e3020bd723e99628872837c14,ctvlvbl.my,Sports & Outdoor,Men's Sports Shoes,99.0,34.0,4.7,615.0,615.0,893.0,65.65656565656566,RM20-50,30-1000,1.0
3bd54b806e258225ddec0c351054504a,qqfwholesale,Women's Bags,Shoulder Bags,17.0,8.48,4.9,831.0,831.0,994.0,50.11764705882352,<RM20,30-1000,1.0
b7ffff51624023a6c773c03ce4bf405c,mykutsu,Women Shoes,Heels,179.0,29.9,4.8,1600.0,1600.0,5100.0,83.29608938547486,RM20-50,1000-5000,1.0
4f88ed7a7328cce26349e7de16b7b995,ottomall,Women Shoes,Flat Sandals & Flip Flops,28.88,4.5,4.5,44.0,44.0,40.0,84.41828254847645,<RM20,30-1000,1.0
8cafb4fbd7a5b968ffd1da222c1cb7f5,kennychoykienyow,Home Appliances,Security & Surveillance,0.2,0.2,5.0,27.0,27.0,10.0,0.0,<RM20,0-30,1.0
9f47b751c6dcacb68df7d115ad541903,carlorino.os,Women's Bags,Handbags,499.0,249.5,4.7,7.0,7.0,68.0,50.0,RM100-300,0-30,1.0
2d5c62ffc20cd02c6a650a100d8bf551,simplehealth.my,Baby & Toys,Maternity Care,3.9,0.55,4.9,97.0,97.0,51.0,85.8974358974359,<RM20,30-1000,1.0
