state,district,population,malay_share,youngmale_share,state_median_income,mosque,mosque_per100k,drug_2023,drug_per100k,crime_2023,crime_per100k,rape_per100k
Johor,BATU PAHAT,504000,0.634,0.154,6879,190,37.7,1773,351.8,373,74.0,3.77
Johor,JOHOR BAHRU,1761600,0.47,0.146,6879,116,6.58,6093,345.9,,,
Johor,KLUANG,328700,0.524,0.168,6879,68,20.69,1018,309.7,364,110.7,4.26
Johor,KOTA TINGGI,229300,0.812,0.155,6879,78,34.02,1304,568.7,250,109.0,6.11
Johor,KULAI,340300,0.462,0.164,6879,31,9.11,476,139.9,,,
Johor,MERSING,80100,0.81,0.152,6879,36,44.94,603,752.8,87,108.6,14.98
Johor,MUAR,318700,0.556,0.167,6879,84,26.36,1519,476.6,332,104.2,7.53
Johor,PONTIAN,175800,0.663,0.157,6879,90,51.19,1376,782.7,230,130.8,5.12
Johor,SEGAMAT,201600,0.53,0.155,6879,66,32.74,1130,560.5,182,90.3,3.47
Johor,TANGKAK,167100,0.628,0.152,6879,63,37.7,648,387.8,,,
Kedah,BALING,146700,0.902,0.146,4402,66,44.99,1036,706.2,292,199.0,7.5
Kedah,BANDAR BAHARU,45100,0.816,0.146,4402,16,35.48,583,1292.7,45,99.8,6.65
Kedah,KOTA SETAR,379300,0.725,0.139,4402,95,25.05,3165,834.4,1173,309.3,11.86
Kedah,KUALA MUDA,560300,0.672,0.154,4402,76,13.56,1935,345.4,1318,235.2,5.0
Kedah,KUBANG PASU,251500,0.879,0.138,4402,82,32.6,1665,662.0,403,160.2,10.74
Kedah,KULIM,346400,0.658,0.151,4402,38,10.97,999,288.4,621,179.3,7.22
Kedah,LANGKAWI,98000,0.876,0.149,4402,29,29.59,1032,1053.1,244,249.0,17.35
Kedah,PADANG TERAP,67100,0.875,0.151,4402,34,50.67,905,1348.7,121,180.3,10.43
Kedah,PENDANG,100700,0.892,0.148,4402,50,49.65,1600,1588.9,201,199.6,14.9
Kedah,POKOK SENA,50500,0.875,0.16,4402,31,61.39,,,,,
Kedah,SIK,69300,0.912,0.147,4402,30,43.29,472,681.1,53,76.5,1.44
Kedah,YAN,74300,0.953,0.144,4402,34,45.76,582,783.3,96,129.2,6.73
Kelantan,BACHOK,163100,0.979,0.151,3614,57,34.95,1815,1112.8,160,98.1,6.74
Kelantan,GUA MUSANG,107200,0.769,0.141,3614,36,33.58,1065,993.5,116,108.2,10.26
Kelantan,JELI,56900,0.949,0.172,3614,22,38.66,984,1729.3,44,77.3,3.51
Kelantan,KECIL LOJING,11100,0.189,0.162,3614,2,18.02,,,,,
