listing_id,listing_title,property_type,date,season,is_weekend,nightly_price,booked,min_nights,capacity,cleaning_fee,platform_fee,revenue,variable_cost,review_count,demand_weight
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-01,shoulder,1,349.0,1,1,3,50,10.47,349.0,76.47,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-02,shoulder,0,279.0,1,1,3,50,8.37,279.0,74.37,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-03,shoulder,0,279.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-04,shoulder,0,279.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-05,shoulder,0,279.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-06,shoulder,1,349.0,1,1,3,50,10.47,349.0,76.47,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-07,shoulder,1,349.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-08,shoulder,1,349.0,1,1,3,50,10.47,349.0,76.47,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-09,shoulder,0,279.0,1,1,3,50,8.37,279.0,74.37,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-10,shoulder,0,279.0,1,1,3,50,8.37,279.0,74.37,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-11,shoulder,0,279.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-12,shoulder,0,279.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-13,shoulder,1,349.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-14,shoulder,1,349.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-15,shoulder,1,349.0,1,1,3,50,10.47,349.0,76.47,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-16,shoulder,0,279.0,1,1,3,50,8.37,279.0,74.37,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-17,shoulder,0,279.0,1,1,3,50,8.37,279.0,74.37,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-18,shoulder,0,279.0,1,1,3,50,8.37,279.0,74.37,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-19,shoulder,0,279.0,1,1,3,50,8.37,279.0,74.37,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-20,shoulder,1,349.0,1,1,3,50,10.47,349.0,76.47,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-21,shoulder,1,349.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-22,shoulder,1,349.0,1,1,3,50,10.47,349.0,76.47,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-23,shoulder,0,279.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-24,shoulder,0,279.0,1,1,3,50,8.37,279.0,74.37,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-25,shoulder,0,279.0,1,1,3,50,8.37,279.0,74.37,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-26,shoulder,0,279.0,1,1,3,50,8.37,279.0,74.37,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-27,shoulder,1,349.0,1,1,3,50,10.47,349.0,76.47,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-28,shoulder,1,349.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-29,shoulder,1,349.0,1,1,3,50,10.47,349.0,76.47,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-30,shoulder,0,279.0,1,1,3,50,8.37,279.0,74.37,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-01-31,shoulder,0,279.0,1,1,3,50,8.37,279.0,74.37,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-01,peak,0,347.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-02,peak,0,347.0,1,1,3,50,10.41,347.0,76.41,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-03,peak,1,434.0,1,1,3,50,13.02,434.0,79.02,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-04,peak,1,434.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-05,peak,1,434.0,1,1,3,50,13.02,434.0,79.02,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-06,peak,0,347.0,1,1,3,50,10.41,347.0,76.41,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-07,peak,0,347.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-08,peak,0,347.0,1,1,3,50,10.41,347.0,76.41,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-09,peak,0,347.0,1,1,3,50,10.41,347.0,76.41,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-10,peak,1,434.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-11,peak,1,434.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-12,peak,1,434.0,1,1,3,50,13.02,434.0,79.02,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-13,peak,0,347.0,1,1,3,50,10.41,347.0,76.41,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-14,peak,0,347.0,1,1,3,50,10.41,347.0,76.41,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-15,peak,0,347.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-16,peak,0,347.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-17,peak,1,434.0,1,1,3,50,13.02,434.0,79.02,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-18,peak,1,434.0,1,1,3,50,13.02,434.0,79.02,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-19,peak,1,434.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-20,peak,0,347.0,1,1,3,50,10.41,347.0,76.41,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-21,peak,0,347.0,1,1,3,50,10.41,347.0,76.41,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-22,peak,0,347.0,1,1,3,50,10.41,347.0,76.41,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-23,peak,0,347.0,1,1,3,50,10.41,347.0,76.41,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-24,peak,1,434.0,1,1,3,50,13.02,434.0,79.02,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-25,peak,1,434.0,1,1,3,50,13.02,434.0,79.02,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-26,peak,1,434.0,1,1,3,50,13.02,434.0,79.02,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-27,peak,0,347.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-02-28,peak,0,347.0,1,1,3,50,10.41,347.0,76.41,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-03-01,trough,0,214.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-03-02,trough,0,214.0,1,1,3,50,6.42,214.0,72.42,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-03-03,trough,1,267.0,1,1,3,50,8.01,267.0,74.01,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-03-04,trough,1,267.0,1,1,3,50,8.01,267.0,74.01,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-03-05,trough,1,267.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-03-06,trough,0,214.0,0,1,3,50,0.0,0.0,0.0,112,1.0
KS01,Infinity Poolside View @ The Haven Lakeside Tambun,1BR,2023-03-07,trough,0,214.0,1,1,3,50,6.42,214.0,72.42,112,1.0
